vidId,frameNum,timestamp,detectedObjId,detectedObjClass,confidence,bbox info,img name
1,5,0:01:59.880121,0,person,0.8937139511108398,[  6 432 332 715],video2_frame0005_obj00.png
1,5,0:01:59.880121,0,person,0.8744540810585022,[469 531 590 717],video2_frame0005_obj01.png
1,5,0:01:59.880121,0,person,0.8253517746925354,[698 548 850 717],video2_frame0005_obj02.png
1,5,0:01:59.880121,0,person,0.8182260990142822,[1189  558 1218  629],video2_frame0005_obj03.png
1,5,0:01:59.880121,0,person,0.7868602871894836,[831 509 929 660],video2_frame0005_obj04.png
1,5,0:01:59.880121,0,person,0.7437402606010437,[ 815  385 1245  720],video2_frame0005_obj05.png
1,5,0:01:59.880121,0,person,0.7351783514022827,[1245  547 1280  718],video2_frame0005_obj06.png
1,5,0:01:59.880121,0,person,0.5690614581108093,[729 547 771 641],video2_frame0005_obj07.png
1,5,0:01:59.880121,26,handbag,0.5249029397964478,[732 639 778 720],video2_frame0005_obj08.png
1,5,0:01:59.880121,26,handbag,0.28120511770248413,[474 629 568 719],video2_frame0005_obj09.png
1,5,0:01:59.880121,24,backpack,0.2760191261768341,[  0 641 186 719],video2_frame0005_obj10.png
1,6,0:02:23.856146,0,person,0.8952057361602783,[ 838  465 1095  720],video2_frame0006_obj00.png
1,6,0:02:23.856146,0,person,0.7955036163330078,[1185  554 1216  632],video2_frame0006_obj01.png
1,6,0:02:23.856146,0,person,0.7575613260269165,[740 540 842 718],video2_frame0006_obj02.png
1,6,0:02:23.856146,0,person,0.7114226818084717,[659 512 785 711],video2_frame0006_obj03.png
1,6,0:02:23.856146,0,person,0.6927291750907898,[562 536 695 719],video2_frame0006_obj04.png
1,6,0:02:23.856146,0,person,0.5701161623001099,[1243  605 1280  718],video2_frame0006_obj05.png
1,6,0:02:23.856146,24,backpack,0.483946293592453,[835 604 976 717],video2_frame0006_obj06.png
1,6,0:02:23.856146,0,person,0.33602848649024963,[1259  568 1280  617],video2_frame0006_obj07.png
1,6,0:02:23.856146,0,person,0.2830767035484314,[1228  569 1252  610],video2_frame0006_obj08.png
1,6,0:02:23.856146,24,backpack,0.25710412859916687,[1077  666 1149  720],video2_frame0006_obj09.png
1,7,0:02:47.832170,0,person,0.8398516774177551,[874 552 993 718],video2_frame0007_obj00.png
1,7,0:02:47.832170,0,person,0.8202658295631409,[593 504 767 717],video2_frame0007_obj01.png
1,7,0:02:47.832170,0,person,0.8089953064918518,[1154  494 1280  720],video2_frame0007_obj02.png
1,7,0:02:47.832170,0,person,0.7847658395767212,[483 539 583 720],video2_frame0007_obj03.png
1,7,0:02:47.832170,0,person,0.5843255519866943,[1049  545 1158  719],video2_frame0007_obj04.png
1,7,0:02:47.832170,24,backpack,0.5376543998718262,[1183  588 1280  718],video2_frame0007_obj05.png
1,7,0:02:47.832170,0,person,0.5322157144546509,[1173  553 1202  592],video2_frame0007_obj06.png
1,7,0:02:47.832170,26,handbag,0.2556379735469818,[932 621 997 720],video2_frame0007_obj07.png
1,25,0:09:59.400607,0,person,0.9653143286705017,[  0  84 779 717],video2_frame0025_obj00.png
1,26,0:10:23.376631,0,person,0.9469142556190491,[  0  81 776 719],video2_frame0026_obj00.png
1,27,0:10:47.352655,0,person,0.9648547172546387,[  0  79 785 717],video2_frame0027_obj00.png
1,28,0:11:11.328679,0,person,0.9586642980575562,[  1  85 783 717],video2_frame0028_obj00.png
